what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1332900055541
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.search",1332900055541
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1332900055542
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.ui",1332900055543
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201006141710,"org.eclipse.cdt.gdb.ui",1332900055543
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201006141710,"org.eclipse.cdt.dsf.gdb",1332900055544
stopped,bundle,org.eclipse.linuxtools.callgraph.launch,0.0.1.201006152250,"org.eclipse.linuxtools.callgraph.launch",1332900055544
stopped,bundle,org.eclipse.linuxtools.oprofile.launch,0.3.0.201006152250,"org.eclipse.linuxtools.oprofile.launch",1332900055545
stopped,bundle,org.eclipse.linuxtools.valgrind.cachegrind,0.4.0.201006152250,"org.eclipse.linuxtools.valgrind.cachegrind",1332900055545
stopped,bundle,org.eclipse.linuxtools.valgrind.memcheck,0.4.0.201006152250,"org.eclipse.linuxtools.valgrind.memcheck",1332900055545
stopped,bundle,org.eclipse.linuxtools.valgrind.launch,0.4.0.201006152250,"org.eclipse.linuxtools.valgrind.launch",1332900055546
stopped,bundle,org.eclipse.linuxtools.profiling.launch,0.3.0.201006152250,"org.eclipse.linuxtools.profiling.launch",1332900055546
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201006141710,"org.eclipse.cdt.launch",1332900055547
stopped,bundle,org.eclipse.linuxtools.valgrind.ui,0.4.0.201006152250,"org.eclipse.linuxtools.valgrind.ui",1332900055547
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1332900055548
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.traditional",1332900055549
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201006141710,"org.eclipse.cdt.dsf",1332900055549
stopped,bundle,org.eclipse.linuxtools.binutils,4.0.0.201006152250,"org.eclipse.linuxtools.binutils",1332900055550
stopped,bundle,org.eclipse.linuxtools.callgraph,0.0.1.201006152250,"org.eclipse.linuxtools.callgraph",1332900055550
stopped,bundle,org.eclipse.linuxtools.callgraph.core,0.0.1.201006152250,"org.eclipse.linuxtools.callgraph.core",1332900055550
stopped,bundle,org.eclipse.linuxtools.oprofile.ui,0.3.0.201006152250,"org.eclipse.linuxtools.oprofile.ui",1332900055551
stopped,bundle,org.eclipse.linuxtools.profiling.ui,0.3.0.201006152250,"org.eclipse.linuxtools.profiling.ui",1332900055551
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1332900055552
stopped,bundle,org.eclipse.linuxtools.cdt.autotools,2.0.0.201006152250,"org.eclipse.linuxtools.cdt.autotools",1332900055552
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.0.201006152250,"org.eclipse.linuxtools.cdt.autotools.ui",1332900055552
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.0.201006152250,"org.eclipse.linuxtools.cdt.autotools.core",1332900055553
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.ui",1332900055554
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201006141710,"org.eclipse.cdt.make.ui",1332900055554
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.gnu.ui",1332900055554
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.core",1332900055556
stopped,bundle,org.eclipse.cdt.make.core,7.0.0.201006141710,"org.eclipse.cdt.make.core",1332900055557
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1332900055557
stopped,bundle,org.eclipse.linuxtools.cdt.libhover,1.0.3.201006152250,"org.eclipse.linuxtools.cdt.libhover",1332900055557
stopped,bundle,org.eclipse.linuxtools.rpm.rpmlint,0.4.3.201006152250,"org.eclipse.linuxtools.rpm.rpmlint",1332900055558
stopped,bundle,org.eclipse.linuxtools.rpm.ui.editor,0.4.3.201006152250,"org.eclipse.linuxtools.rpm.ui.editor",1332900055558
stopped,bundle,org.eclipse.linuxtools.changelog.core,2.6.7.201006152250,"org.eclipse.linuxtools.changelog.core",1332900055559
stopped,bundle,org.eclipse.linuxtools.dataviewers.annotatedsourceeditor,4.1.0.201006152250,"org.eclipse.linuxtools.dataviewers.annotatedsourceeditor",1332900055559
stopped,bundle,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui",1332900055594
stopped,bundle,org.eclipse.linuxtools.valgrind.core,0.4.0.201006152250,"org.eclipse.linuxtools.valgrind.core",1332900055595
stopped,bundle,org.eclipse.cdt.core,5.2.0.201006141710,"org.eclipse.cdt.core",1332900055606
